ASM_0,correlation_0,entropy_0,ASM_1,correlation_1,entropy_1,ASM_2,correlation_2,entropy_2,ASM_3,correlation_3,entropy_3,view,density
0.00012956613274655156,0.9555145878041078,4.921724506726834,7.836590935754411e-05,0.9237977090029539,5.553717745350757,0.00011768591638719369,0.9499419617313589,5.070471966525778,8.116459309783453e-05,0.9263387707410126,5.514828650123186,MLO,2
0.00015113669393206772,0.9541760114945316,5.2813489869600865,9.618991911238932e-05,0.924513251862882,5.989437998222501,0.00015413267193061599,0.955206653689091,5.266631978901036,0.00010213869860852756,0.9296629782305996,5.874280310938092,MLO,2
9.632296758142858e-05,0.8836544892926965,6.401968101134429,5.904779050395535e-05,0.8140479696946036,6.932254811361368,8.373555527667375e-05,0.8663087978619227,6.609306686481368,5.5587627941479306e-05,0.8024412714417556,6.984378402715357,MLO,2
9.313402572653674e-05,0.9104629749685801,5.246560787262135,5.845721773165948e-05,0.850690355240676,5.765060171154154,8.597888191032638e-05,0.8939864332327693,5.426386374418404,5.710074186148761e-05,0.8448075380305231,5.799783649750455,CC,2
0.00036428013764180326,0.9687947971760331,4.925058639779003,0.00018260874013723585,0.9401805823434052,5.866352080953534,0.00032102967064338324,0.9610138644467476,5.208980966480479,0.00019253058751693945,0.9421034501060529,5.805486363164933,CC,2
0.00022054555635845187,0.9629245721051954,5.201695343684901,0.00010938651026238016,0.918724777515794,6.426846184426702,0.00018881227992528963,0.9390252583670731,6.022719173987503,0.00011727345869656612,0.9157971533013901,6.464493457445105,MLO,2
0.00010677853706643028,0.9377247857133965,6.156558710537515,7.037220735594751e-05,0.9001352406442511,6.805078968789385,0.00010178871437714116,0.9251871533714034,6.444078679719216,6.879066766251022e-05,0.8913101697497335,6.919783551590131,MLO,2
0.0002020813747683932,0.9662298513743572,4.835859714406571,0.00010197376986235856,0.9321152084639882,5.831782998134268,0.00017556883782697294,0.9533593892329421,5.279018468183777,0.00011336319481618985,0.9306071136498958,5.85613127419598,CC,2
0.0002973757660879124,0.9663989705890415,5.4278863712214305,0.00014260480587741136,0.9303163541349875,6.652033785764934,0.00023441201762700533,0.9512231159321446,6.05688247143971,0.0001527648155732174,0.930225165222032,6.650510825084351,CC,2
0.00011173856687040005,0.8944490542919145,6.760329041468676,6.67283364333169e-05,0.8294639290046224,7.340588319453942,9.329292573660116e-05,0.8756205805919918,6.993501631075679,6.507757646406218e-05,0.8200076838858323,7.386313844916231,MLO,2
